"SKU";"Title";"Category";"Description";"Text";"Price";"Quantity";"Photo";"Characteristics:Вес";"Characteristics:Состав";"Characteristics:Срок годности";"Characteristics:Пищевая ценность";"Mark"
"P01";"Пастила красная смородина и яблоко";"Пастила";"30% пюре ягоды, 70% пюре яблок";"Кисло-сладкая пастила из яблочного пюре и красной смородины. Только два ингредиента, без сахара.";"955";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p01.jpg";"250 г";"30% пюре ягоды, 70% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";"Не в сезоне"
"P02";"Пастила черника и яблоко";"Пастила";"30% пюре ягоды, 70% пюре яблок";"Лесная черника и садовое яблоко. Тёмный цвет — от ягоды, а не от красителя.";"955";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p02.jpg";"250 г";"30% пюре ягоды, 70% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";"Не в сезоне"
"P03";"Пастила чёрная смородина и яблоко";"Пастила";"30% пюре ягоды, 70% пюре яблок";"Насыщенный смородиновый вкус. Без сахара, красителей и консервантов.";"955";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p03.jpg";"250 г";"30% пюре ягоды, 70% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";"Не в сезоне"
"P04";"Пастила клюква и яблоко";"Пастила";"30% пюре ягоды, 70% пюре яблок";"Клюква с псковских болот и яблоко с наших плантаций.";"955";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p04.jpg";"250 г";"30% пюре ягоды, 70% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";"Не в сезоне"
"P05";"Пастила арония и яблоко";"Пастила";"30% пюре ягоды, 70% пюре яблок";"Терпкая черноплодная рябина, мягко уравновешенная яблоком.";"955";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p05.jpg";"250 г";"30% пюре ягоды, 70% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";"Не в сезоне"
"P06";"Пастила крыжовник и яблоко";"Пастила";"30% пюре ягоды, 70% пюре яблок";"Свежий крыжовниковый вкус — один из самых летних в линейке.";"955";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p06.jpg";"250 г";"30% пюре ягоды, 70% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";"Не в сезоне"
"P07";"Пастила абрикос и яблоко";"Пастила";"30% пюре абрикоса, 70% пюре яблок";"Мягкая, солнечная. Хорошо заходит детям.";"955";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p07.jpg";"250 г";"30% пюре абрикоса, 70% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";"Не в сезоне"
"P08";"Пастила тыква и яблоко";"Пастила";"30% пюре тыквы, 70% пюре яблок";"Осенний вкус: тыква добавляет плотности и цвета.";"955";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p08.jpg";"250 г";"30% пюре тыквы, 70% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";"Не в сезоне"
"P09";"Пастила малина и яблоко";"Пастила";"30% пюре ягоды, 70% пюре яблок";"Малина из наших лесов. Аромат чувствуется сразу при вскрытии.";"955";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p09.jpg";"250 г";"30% пюре ягоды, 70% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";"Не в сезоне"
"P10";"Пастила клубника и яблоко";"Пастила";"30% пюре ягоды, 70% пюре яблок";"Клубничная классика без сахара и ароматизаторов.";"955";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p10.jpg";"250 г";"30% пюре ягоды, 70% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";"Не в сезоне"
"P11";"Пастила облепиха и яблоко";"Пастила";"30% пюре ягоды, 70% пюре яблок";"Яркая облепиха с характерной кислинкой.";"955";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p11.jpg";"250 г";"30% пюре ягоды, 70% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";"Не в сезоне"
"P12";"Пастила слива и яблоко";"Пастила";"30% пюре сливы, 70% пюре яблок";"Густой сливовый вкус, чуть терпкий.";"955";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p12.jpg";"250 г";"30% пюре сливы, 70% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";"Не в сезоне"
