ID,Type,SKU,Name,Published,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global
,simple,P01,Пастила красная смородина и яблоко,1,visible,"30% пюре ягоды, 70% пюре яблок","Кисло-сладкая пастила из яблочного пюре и красной смородины. Только два ингредиента, без сахара.",0,0,955,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p01.jpg,Вес,250 г,1,1,Состав,"30% пюре ягоды, 70% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
,simple,P02,Пастила черника и яблоко,1,visible,"30% пюре ягоды, 70% пюре яблок","Лесная черника и садовое яблоко. Тёмный цвет — от ягоды, а не от красителя.",0,0,955,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p02.jpg,Вес,250 г,1,1,Состав,"30% пюре ягоды, 70% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
,simple,P03,Пастила чёрная смородина и яблоко,1,visible,"30% пюре ягоды, 70% пюре яблок","Насыщенный смородиновый вкус. Без сахара, красителей и консервантов.",0,0,955,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p03.jpg,Вес,250 г,1,1,Состав,"30% пюре ягоды, 70% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
,simple,P04,Пастила клюква и яблоко,1,visible,"30% пюре ягоды, 70% пюре яблок",Клюква с псковских болот и яблоко с наших плантаций.,0,0,955,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p04.jpg,Вес,250 г,1,1,Состав,"30% пюре ягоды, 70% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
,simple,P05,Пастила арония и яблоко,1,visible,"30% пюре ягоды, 70% пюре яблок","Терпкая черноплодная рябина, мягко уравновешенная яблоком.",0,0,955,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p05.jpg,Вес,250 г,1,1,Состав,"30% пюре ягоды, 70% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
,simple,P06,Пастила крыжовник и яблоко,1,visible,"30% пюре ягоды, 70% пюре яблок",Свежий крыжовниковый вкус — один из самых летних в линейке.,0,0,955,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p06.jpg,Вес,250 г,1,1,Состав,"30% пюре ягоды, 70% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
,simple,P07,Пастила абрикос и яблоко,1,visible,"30% пюре абрикоса, 70% пюре яблок","Мягкая, солнечная. Хорошо заходит детям.",0,0,955,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p07.jpg,Вес,250 г,1,1,Состав,"30% пюре абрикоса, 70% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
,simple,P08,Пастила тыква и яблоко,1,visible,"30% пюре тыквы, 70% пюре яблок",Осенний вкус: тыква добавляет плотности и цвета.,0,0,955,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p08.jpg,Вес,250 г,1,1,Состав,"30% пюре тыквы, 70% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
,simple,P09,Пастила малина и яблоко,1,visible,"30% пюре ягоды, 70% пюре яблок",Малина из наших лесов. Аромат чувствуется сразу при вскрытии.,0,0,955,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p09.jpg,Вес,250 г,1,1,Состав,"30% пюре ягоды, 70% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
,simple,P10,Пастила клубника и яблоко,1,visible,"30% пюре ягоды, 70% пюре яблок",Клубничная классика без сахара и ароматизаторов.,0,0,955,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p10.jpg,Вес,250 г,1,1,Состав,"30% пюре ягоды, 70% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
,simple,P11,Пастила облепиха и яблоко,1,visible,"30% пюре ягоды, 70% пюре яблок",Яркая облепиха с характерной кислинкой.,0,0,955,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p11.jpg,Вес,250 г,1,1,Состав,"30% пюре ягоды, 70% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
,simple,P12,Пастила слива и яблоко,1,visible,"30% пюре сливы, 70% пюре яблок","Густой сливовый вкус, чуть терпкий.",0,0,955,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p12.jpg,Вес,250 г,1,1,Состав,"30% пюре сливы, 70% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
,simple,P13,Пастила груша и яблоко,1,visible,"50% пюре груши, 50% пюре яблок",Самая мягкая в линейке. Груша даёт медовую сладость без сахара.,1,10,955,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p13.jpg,Вес,250 г,1,1,Состав,"50% пюре груши, 50% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
,simple,P14,"Пастила микс вкусов, 350 г",1,visible,"30% пюре ягоды, 70% пюре яблок","От 5 до 12 вкусов в одной коробке — набор каждый раз разный. Пастила ручной резки, без сахара.",0,0,1105,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p14.jpg,Вес,350 г,1,1,Состав,"30% пюре ягоды, 70% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
,simple,P15,"Пастила микс вкусов, 250 г",1,visible,"30% пюре ягоды, 70% пюре яблок","От 5 до 12 вкусов в одной коробке — набор каждый раз разный. Малая коробка, удобно попробовать.",0,0,955,Пастила,https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p15.jpg,Вес,250 г,1,1,Состав,"30% пюре ягоды, 70% пюре яблок",1,1,Срок годности,6 месяцев с даты производства,1,1,Пищевая ценность,"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г",1,1
